domain,chapter,daikoumoku,chukoumoku,shoukoumoku,remarks,keywords,id
必修の基本的事項,7 主要症候,ア 全身の症候,a 発熱、全身倦怠感、体重減少・増加、ショック、意識障害、失神、脱水、浮腫、けいれん、めまい、不整脈、血圧上昇・低下、黄疸、呼吸困難、チアノーゼ、頭痛、動悸、息切れ、胸痛、睡眠障害、嚥下障害、誤嚥、悪心、嘔吐、下痢,,,全身倦怠感;和物;塩酸;嚥下障害;アナフィラキシーショック;歯肉;ショック;ところ;発作;硫酸;腫脹;失神;hg;呼吸困難;アドレナリン;ジアゼパム;全身;血圧;アトロピン;リドカイン;皮膚;エピネフリン;訴え;誤嚥;血管;投与;麻酔;意識障害;静脈;意識;浮腫;けいれん;発熱;症状;塩水;水和物,21
必修の基本的事項,8 診察の基本,エ 全身の診察,c バイタルサイン(呼吸、脈拍、血圧、体温),,,23歳;anb;fort;le;なっ;なら;エピネフリン;クリック音;コンタクトゲージ;セファロ;チェック;バイタルサイン;三叉神経;不能;全身麻酔;内頸静脈;分割;切り;動脈;外頸静脈;平面;応答;意識;換気;支配;救急車;気道;気道確保;波動を触知;消失;測定;炭酸ガス;確認;神経;神経節;突感;舌下神経;舌咽神経;舌神経;蒼白;血液学;迷走神経;顔面;顔面動脈;顔面神経;麻痺;麻酔,22
必修の基本的事項,9 検査・臨床判断の基本,ク 根拠に基づいた医療〈EBM〉,c 診療ガイドライン,,,重症度;オーラルディアドコキネシス;ast;番号;評価;ごと;系統;倫理;スクリーニング;疾病;dmf;指針;crp;医療行為;alp;被験者;発病;重要;敏感;クリニカルパス;rohrer;作成;医療機関;整備;特異度;研究;異なる;診療;オッズ比;医学;適中;経験;ファイル;指数;定める;診療ガイドライン;データ,23
必修の基本的事項,10 初期救急,イ 救急処置,a 一次救命処置〈BLS〉,,,画面;人工呼吸;除細動;健常;一次救命処置;消失;酸素;半分;aed;BLS;脈拍;胸部;生体;成人;要請;最初;胸骨;マッサージ;確認;安全;モニタ;静脈路確保;投与;確保;気道確保;圧迫;気管挿管;心停止;静脈;意識;頸動;輸液,24
歯科医学総論,総論Ⅰ 保健・医療と健康増進,1 健康の保持・増進と社会保障,カ 地域包括ケアシステム,a 在宅医療,※歯科訪問診療 医療と介護の連携,医療と介護の連携;在宅医療;地域包括ケアシステム;歯科訪問診療,25
歯科医学総論,総論Ⅱ 正常構造と機能、発生、成長、発達、加齢変化,5 歯と歯周組織の構造,ア 歯の形態,a 基本事項,生物学的特性、生歯、歯式、方向用語、歯の外形、歯髄腔の形態、歯根の形態、三歯徴〈三表徴〉,歯槽骨;石灰;バンド;表示;2級;器具;55;51;不明瞭;基本;標準;ヒトパピローマウイルス;三歯徴;ウイルス;ころ;上顎第一大臼歯;10歳;胎生;ヒト;完成;咬頭;嚢胞;14歳;歯周組織;ガムリトラクター;サービカルマトリックス;セメント質;境界;単純ヘルペスウイルス;マトリックス;1歳;明瞭;コンポジットレジン;歯根;65;ウェッジ;歯式;54,26
歯科医学総論,総論Ⅱ 正常構造と機能、発生、成長、発達、加齢変化,6 口腔顎顔面の機能,ウ 咀嚼,a 咀嚼能力,,イン;インプラント;クラウン;クラスプ;トレー;ブリッジ;リラ;レジン;上下;人工歯;付与;作業;修理;全部;印象;口唇突出度;咀嚼;困難;審美;床下;排列;操作;欠損;疼痛;瘻孔;窩洞;窩洞形成;粘膜;義歯;装置;補綴;製作;診察;調整;運動;適合;顔貌写真;齲蝕,27
歯科医学総論,総論Ⅲ 病因、病態,1 病因・病態,コ 腫瘍,d 口腔潜在的悪性疾患,※前癌状態、前癌病変,カンジダ;改変;vinson;扁平苔癬;紅板症;口腔カンジダ症;weber;上皮;問題;口唇炎;前癌状態;sturge;エナメル上皮腫;天疱瘡;粘膜;前癌病変;骨折;病変;潰瘍;上皮性;嚢胞;疾患;口腔粘膜;plummer;印象;水疱;手足口病;線維;交通;症候群;口腔潜在的悪性疾患;c型肝炎;peutz;尋常性天疱瘡;白板症;時代;表皮;平面,28
歯科医学総論,総論Ⅳ 主要症候,2 口腔・顎顔面の症候,ク 口腔・顎顔面の機能障害,開口・閉口障害、咀嚼障害、哺乳障害、摂食嚥下障害、発話障害(発話機能障害)、感覚障害、口腔乾燥,,壊死;歯髄炎;塩酸;病理;唾液腺;白血病;腫脹;原因;腫瘍;口腔乾燥;乾燥;gvhd;耳下腺;咀嚼障害;発話障害;義歯;sjögren;口腔乾燥症;病変;潰瘍;疾患;組織;放射線;放射線治療;摂食嚥下障害;アフタ;99m;手足口病;萎縮;生検;試験;症候群;開口障害;igg4関連疾患;顎下腺;流行性耳下腺炎;障害;基準値,29
歯科医学総論,総論Ⅴ 診察,5 高齢者への対応,イ 評価,g Quality of Life〈QOL〉,※口腔関連QOL,79歳;CT;H−E染色;MRI;OHI;OHI─S;O’LearyのPCR;PHP;PMA指数;QOL;Quality of Life;RussellのPI;assessment;cfi;health;index;leary;life;mini;mmse;ohi;pcr;php;グルコース;シンチグラム;セファロ分析;パラトグラム;フェイスボウトランスファー;ブローイング;前立腺癌;単独;口腔関連QOL;合力;咀嚼;咀嚼運動;延命;投与;最大;溶出;疼痛;筋電図;線条;義歯;能力;能率;補綴;製する;記録;評価;関連;麻薬,30
歯科医学総論,総論Ⅴ 診察,6 全身疾患を有する者への対応,ア 留意すべき疾患,h 内分泌・代謝・栄養疾患,※糖尿病、脂質異常症,1型糖尿病;2型糖尿病;alt;ast;dl;hba1c;インスリン;コレステロール;プロトロンビン時間;冷水痛;口呼吸;口臭;呼吸;呼吸数;投与;歯肉炎;狭窄;生活習慣病;疾患;白血球;空腹時血糖;糖尿病;肝硬変;脳梗塞;脳血管疾患;血友病;血圧;血小板;関連;骨粗鬆症;高血圧症,31
歯科医学総論,総論Ⅵ 検査,2 画像検査,オ CT,a 原理、特徴、適応,※造影CT、歯科用コーンビームCT,CT;T1強調像;T2強調像;mri;pet;t2;ウェットボンディング;エナメル上皮腫;カーボランダムポイント;ゴシックアーチ描記法;バイトゲージ;パノラマ;プロービングデプス;リンパ節;下部;切除;原性;嚢胞;増大;平行模型;強調;形成;扁平上皮癌;摘出;撮影;放置;染色;歯科用コーンビームCT;歯科用コーンビームct;歯肉;生検;疼痛;病理;組織;腫脹;超音波検査;造影;電気診,32
歯科医学総論,総論Ⅶ 治療,8 薬物療法,ウ 疾患に応じた薬物療法,a 鎮痛薬,,kg;nsaids;がん;アセトアミノフェン;アモキシシリン;ステロイド;作用;全身麻酔;切開;副腎皮質;化膿;原因療法;塗布;塩酸;急性;感染;投与;抗ウイルス薬;抗菌薬;根尖性歯周炎;歯切;水和物;注射;消炎;疼痛;経口;義歯;腫脹;薬物;軟膏;鎮痛;鎮痛薬;阻害;静脈内鎮静法;非ステロイド性抗炎症薬;麻薬,33
歯科医学総論,総論Ⅷ 歯科材料と歯科医療機器,5 成形修復・予防填塞・歯内療法用材料,ア 成形修復用材料,a コンポジットレジン,,インレー;グラスアイオノマーセメント;コンポジットレジン;コンポジットレジンインレー;セメント;レジン;レジン前装冠;一過性;付与;作業用模型;係数;冷水;処理;反応;合金;塗布;形態;打診;接着;接着ブリッジ;歯髄;生活反応;窩洞;自発;重合;間接;除細動;電気,34
歯科医学総論,総論Ⅷ 歯科材料と歯科医療機器,6 歯冠修復・義歯用材料,イ セラミック材料,b ジルコニア、アルミナ、ガラスセラミックス,,ください;ろう;アルミナ;オフロキサシン;カスタムトレー;カルシウム;ガラスセラミックス;クロム;コバルト;ジルコニア;ステンレス鋼;セメント;タイプ;タングステンカーバイドバー;チタン;チタン合金;ニッケル;ハイドロキシアパタイト;バリウム;パラジウム;ブリッジ;ポリ乳酸;ユージノールセメント;リン酸;亜鉛;処理;合金;成分;材料;活性;焼付;生体;生体材料;用い;酸化亜鉛;金銀;鋳造,35
歯科医学各論,各論Ⅰ 成長・発育に関連した疾患・病態,2 歯の異常,イ 形態の異常,a 癒合歯、癒着歯、双生歯,,0mm;9歳;arch;discrepancy;length;ratio;タウロドント;上顎側切歯;乳歯;低位;先天;双生歯;埋伏;埋伏歯;大きく;実状;巨大歯;形態;悪いこと;欠如;正中;歯並び;歯内歯;異常;癒合;癒合歯;癒着;癒着歯;矮小歯;破折;萌出;過剰歯;骨格,36
歯科医学各論,各論Ⅰ 成長・発育に関連した疾患・病態,2 歯の異常,ウ 構造の異常,b エナメル質形成不全(症),Turnerの歯、エナメル質減形成症,過剰;過剰歯;形成;鎖骨;萌出;頭蓋骨;先天性;Turnerの歯;内部;外胚葉;原因;象牙質;骨形成不全症;変色;pierre;エナメル質形成不全;不全;crouzon;robin;後継;色調;歯のフッ素症;異常;歯髄;考え;エナメル質;化物;冷水;先天性表皮水疱症;down;hutchinson;症候群;永久歯;狭窄,37
歯科医学各論,各論Ⅱ 歯・歯髄・歯周組織の疾患,1 歯の硬組織疾患,ア 歯の硬組織疾患の病因と病態,a 齲蝕の病因,※脱灰、再石灰化,形成;齲窩;凝集;再石灰化;齲蝕の病因;材料;象牙質;ヒスタチン;緩衝;染色;溶解;ムチン;rh;ラクトフェリン;侵入;表層;唾液;抗菌;アミラーゼ;リゾチーム;作用;標本;エナメル質;抑制;脱灰;齲蝕;成分;ペリクル,38
歯科医学各論,各論Ⅱ 歯・歯髄・歯周組織の疾患,3 歯周疾患,ウ 歯周疾患の治療,e 歯周外科治療(歯周組織再生療法),組織再生誘導法〈GTR法〉、エナメルマトリックスたんぱく質、FGF-2製剤、骨移植術,FGF-2製剤;GTR法;エナメル;エナメルマトリックスたんぱく質;スケーリング;タンパク質;フェリプレシン;フラップ;ヘミセクション;ポケット;ルートプレーニング;再生;切開;切除;動揺;岐部;手術;掻爬;整形;新付着術;検査結果;歯周プローブ;歯周ポケット;歯周基本治療;歯周組織;歯周組織再生療法;歯槽骨;歯肉;療法;移動;移植;結合組織;腫脹;術中;評価;遊離;骨移植術,39
歯科医学各論,各論Ⅲ 顎・口腔領域の疾患,1 主として軟組織に関連する疾患の病態・診断・治療,オ 軟組織に発生する腫瘍および腫瘍類似疾患,c 口腔癌,舌癌、頬粘膜癌、硬口蓋癌、口底癌、上顎・下顎歯肉癌,1m;gy;m1;t2;ニトログリセリン;リンパ節;上顎洞癌;再建;切除;単位;口底癌;口腔癌;吸収線量;嚥下;塩酸;外部;実効線量;悪性黒色腫;扁平上皮癌;投与;放射線;放射線治療;歯肉;歯肉癌;照射;白内障;硬口蓋癌;組織内;線量;耳下腺;舌下腺;舌癌;装置;転移;進展;重粒子線;電子;頬粘膜癌;頸部;骨肉腫,40
歯科医学各論,各論Ⅳ 歯質・歯・顎顔面欠損と機能障害,3 クラウンブリッジによる治療,,,,オトガイ舌筋;クラウンブリッジによる治療;ダイヤモンドポイント;フランクフルト平面;ブラッシング;下顎下縁平面傾斜角;下顎孔伝達麻酔;下顎管;下顎隆起;内頸動脈;前方滑走運動;口腔内写真;咬合平面設定板;咬合法歯軸方向撮影;咬合痛;咬合高径;平滑筋肉腫;広頚筋;慢性歯周炎;排膿;根面齲蝕;歯冠破折;歯髄電気診;水平的顎間関係;耳珠;胸鎖乳突筋;自発痛;開口障害;隣接面;顎下腺;顎態模型;顎舌骨筋;骨肉腫,41
歯科医学各論,各論Ⅳ 歯質・歯・顎顔面欠損と機能障害,4 部分床義歯による治療,,,,歯根膜腔;部分床義歯による治療,42
歯科医学各論,各論Ⅳ 歯質・歯・顎顔面欠損と機能障害,5 全部床義歯による治療,,,,全部床義歯;全部床義歯による治療;咬合床;抜髄;歯周基本治療;歯槽骨;隣接面接触点,43
歯科医学各論,各論Ⅳ 歯質・歯・顎顔面欠損と機能障害,6 インプラント義歯による治療,,,,0mm;28週;40歳;48歳;Posseltの図形;me;アバットメント;インプラント;インプラント義歯;インプラント義歯による治療;スクリュー;セメント;ミダゾラム;上部構造;乳癌;以後;修復象牙質;噛め;垂直;妊娠;審美;平行性;強化;感染象牙質;接着;早期;期間;構造;歯周組織検査;死亡;浸潤麻酔;獲得;癒合;短縮;確保;篩骨;結合;蝶形骨;診察;費用;軟骨;頭頂骨,44
歯科医学各論,各論Ⅴ 配慮が必要な高齢者・有病者・障害者等に関連した疾患・病態・予防ならびに歯科診療,1 疾患・病態,オ フレイル,,サルコペニア、ロコモティブシンドローム,2010年;bmi;dl;index;sga;アルブミン;エネルギー;カルシウム;サルコペニア;セファログラム;フレイル;プレドニゾロン;ロコモティブシンドローム;上限;代償;体重;充血;入る;図る;始める;心理的;応力;推定;摂取;摂取量;教室;日本人;栄養;栄養素;歩行;比例;活動量;状態;生後;用いる;疲労;目安;訓練;速度;高齢者,45
